监测时间,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m²）
2020-4-28 5:00,15,50,52,47,43,0.8,22.6,57,1015.7,0.3,321.8,0.460494,356.231
2020-4-28 6:00,12,45,48,38,42,0.8,22.3,60,1016,0.3,338,0.43419,353.757
2020-4-28 7:00,12,48,49,36,40,0.9,23.6,57,1016.5,0.2,342.5,0.21407,349.788
2020-4-28 8:00,14,53,52,34,62,0.9,25.7,45,1016.9,0.8,14.6,0.182169,346.754
2020-4-28 9:00,15,37,60,35,102,0.7,26.8,38,1016.9,1,104.4,0.20144,344.483
2020-4-28 10:00,14,43,66,25,136,0.7,27.9,36,1016.6,1,60.2,0.19128,342.598
2020-4-28 11:00,13,58,94,39,179,0.7,28.3,36,1016.1,1.6,40.5,0.241533,342.773
2020-4-28 12:00,13,40,96,46,237,0.7,29.5,34,1015.4,1.4,36.4,0.241533,342.773
2020-4-28 13:00,13,32,92,50,262,0.7,29.8,33,1014.7,1.9,82,0.173921,345.067
2020-4-28 14:00,12,29,74,49,208,0.6,29.9,32,1013.8,1.6,76.1,0.0835122,349.56
2020-4-28 15:00,11,28,67,37,224,0.6,30.4,30,1013,1.4,87.3,0,355.446
2020-4-28 16:00,11,27,76,35,284,0.6,30.5,30,1012.8,1.3,166.2,0,361.536
2020-4-28 17:00,10,31,79,43,293,0.7,30.4,30,1012.8,1.1,239.5,0,366.304
2020-4-28 18:00,11,36,80,47,212,0.7,29.1,36,1013,1.8,257,0,370.841
2020-4-28 19:00,12,39,78,34,135,0.7,27.5,46,1013.4,1.8,274,0,373.717
2020-4-28 20:00,10,32,74,33,109,0.7,25.8,56,1014.1,1.4,305,0,375.248
2020-4-28 21:00,9,37,68,31,90,0.6,24.8,62,1014.8,1.7,131.8,0,376.492
2020-4-28 22:00,8,20,59,26,101,0.5,23.8,66,1015.4,1.4,65.7,0.628392,380.092
2020-4-28 23:00,7,16,45,22,88,0.5,23.2,72,1015.4,1.6,84.4,0.608908,378.887
2020-4-29 0:00,7,19,42,20,81,0.5,22.9,71,1015.2,1.1,45.9,0.639047,376.261
2020-4-29 1:00,7,14,48,20,83,0.5,22.4,72,1015,0.9,48.4,0.377701,371.65
2020-4-29 2:00,7,18,50,13,70,0.5,22.1,76,1014.8,0.9,49.8,0.302154,369.773
2020-4-29 3:00,7,22,49,20,60,0.5,21.6,79,1014.7,0.5,14.6,0.422491,368.018
2020-4-29 4:00,7,24,45,16,55,0.5,21.3,81,1014.9,0.5,46.3,0.578292,366.492
2020-4-29 5:00,6,25,55,19,57,0.5,21.5,79,1015.2,0.8,92.7,0.499159,364.987
2020-4-29 6:00,7,24,53,22,63,0.6,21.8,77,1015.5,1,108.8,0.422595,364.768
2020-4-29 7:00,9,38,56,19,51,0.6,22.4,75,1016.2,1.5,88,0.498651,363.367
2020-4-29 8:00,9,41,66,27,58,0.6,23.2,70,1016.4,1.5,70.7,0.582583,359.02
2020-4-29 9:00,10,26,52,25,87,0.6,24.5,63,1016.6,1.4,47.6,0.870528,414.121
2020-4-29 10:00,9,17,60,27,106,0.5,25.8,60,1016.5,1.3,76.7,0.870528,414.121
2020-4-29 11:00,8,16,59,19,116,0.5,26.8,57,1016.1,1.5,67.5,0.079124,412.792
2020-4-29 12:00,8,10,59,16,137,0.4,28,50,1015.6,1.6,112.1,0.0185185,362.975
2020-4-29 13:00,8,11,51,18,168,0.5,28.5,47,1014.8,1.7,123.1,0,365.392
2020-4-29 14:00,8,10,62,23,170,0.5,29,46,1013.8,1.7,165.2,0,367.556
2020-4-29 15:00,8,8,46,20,149,0.4,29.8,41,1013.1,1.7,215.7,0,369.638
2020-4-29 16:00,7,8,40,17,145,0.4,29.6,38,1012.8,1.7,121.5,0,372.451
2020-4-29 17:00,7,13,34,15,139,0.5,29.6,36,1012.6,1.4,112.4,0,377.606
2020-4-29 18:00,7,17,42,15,138,0.5,28.9,42,1013,0.8,341.6,0,380.068
2020-4-29 19:00,8,25,55,16,131,0.7,27.8,52,1013.6,1.6,232.6,0,381.008
2020-4-29 20:00,8,23,52,25,107,0.7,27.1,56,1014.1,1.1,259.7,0.194724,380.121
2020-4-29 21:00,9,30,63,22,81,0.7,26.2,63,1014.6,1.3,253.4,0.550545,379.527
2020-4-29 22:00,10,40,66,24,53,0.8,25.4,69,1015,0.9,316.7,0.616647,378.248
2020-4-29 23:00,11,30,112,45,56,0.7,24.8,71,1014.8,0.9,9.6,0.242249,374.604
2020-4-30 0:00,11,30,87,84,48,0.7,24.2,74,1014.4,0.7,354.3,0.188958,367.055
2020-4-30 1:00,10,30,52,—,40,0.7,23.8,76,1014,0.5,285.6,0.173905,361.844
2020-4-30 2:00,8,35,52,28,32,0.6,23.6,78,1013.5,0.5,255.6,0.32486,358.192
2020-4-30 3:00,8,25,50,22,42,0.6,23.4,77,1013.3,0.6,315.3,0.328981,354.124
2020-4-30 4:00,8,22,42,24,40,0.6,23.2,79,1013.3,0.5,28,0.367679,350.493
2020-4-30 5:00,9,22,45,19,40,0.6,23.1,79,1013.9,0.6,358,0.211462,346.69
2020-4-30 6:00,10,26,38,20,37,0.6,23.4,78,1014.5,0.6,17.4,0.171743,343.534
2020-4-30 7:00,11,26,44,23,50,0.7,24.5,72,1014.9,1,112.1,0.253502,341.38
2020-4-30 8:00,11,27,51,25,60,0.8,25.1,69,1015.2,1.2,134.9,0.238016,339.615
2020-4-30 9:00,12,30,60,30,76,0.7,26.3,64,1015.4,1.3,231.9,0.229226,337.771
2020-4-30 10:00,11,25,65,36,113,0.6,27.6,58,1015.3,1.2,138.6,0.251086,337.77
2020-4-30 11:00,9,24,75,34,143,0.6,27.7,56,1014.6,1.9,74.3,0.251086,337.77
2020-4-30 12:00,10,25,66,30,148,0.6,28.5,52,1014.1,2.1,63.4,0.214758,340.649
2020-4-30 13:00,10,22,69,28,153,0.5,29,50,1013.1,2.2,54.9,0.132822,344.474
2020-4-30 14:00,9,17,66,23,177,0.5,29.3,47,1012.1,2.3,71.2,0.162989,349.383
2020-4-30 15:00,9,20,64,24,181,0.5,29.6,47,1011.5,2.2,86.7,0.0600804,355.092
2020-4-30 16:00,9,19,66,26,190,0.5,29.5,48,1011,1.9,86.7,0,360.919
2020-4-30 17:00,9,25,51,27,140,0.5,29.2,43,1010.8,2,111.5,0,366.318
2020-4-30 18:00,8,26,47,15,108,0.5,28.6,46,1010.9,1.9,121.5,0,370.215
2020-4-30 19:00,7,25,47,23,91,0.5,28,48,1010.9,1.1,71.8,0,371.746
2020-4-30 20:00,8,38,45,19,58,0.6,27.3,51,1011.2,1.1,102.7,0.718904,372.858
2020-4-30 21:00,8,41,55,19,42,0.6,26.5,56,1011.4,1.1,82.5,0.792006,370.156
2020-4-30 22:00,8,34,51,18,42,0.6,25.8,58,1011.8,0.8,50.1,0.433163,362.913
2020-4-30 23:00,8,31,48,22,41,0.6,25.3,62,1011.8,1.4,237.2,0.289053,357.668
2020-5-1 0:00,8,19,45,21,44,0.5,24.9,69,1011.4,1.7,235,0.0742633,350.902
2020-5-1 1:00,7,9,42,17,53,0.5,24.5,76,1011.1,1.8,229.7,0.293673,345.259
2020-5-1 2:00,6,9,36,16,51,0.5,24.3,76,1010.8,1.2,249.5,0.336356,340.181
2020-5-1 3:00,8,20,37,13,39,0.6,24.2,76,1010.5,1,249.1,0.394278,337.095
2020-5-1 4:00,11,29,48,20,26,0.7,24.1,78,1010.6,0.7,263.3,0.344256,333.548
2020-5-1 5:00,9,22,47,23,30,0.6,23.6,80,1011.1,0.6,276.4,0.309964,330.972
2020-5-1 6:00,8,24,36,19,26,0.6,23.7,81,1011.7,0.5,303.8,0.313056,328.053
2020-5-1 7:00,10,27,38,18,28,0.6,24.6,77,1012.1,0.6,271.4,0.317127,325.608
2020-5-1 8:00,10,18,32,25,41,0.7,26.4,69,1012.5,1,248.6,0.307292,323.665
2020-5-1 9:00,10,14,46,21,53,0.6,27.2,64,1012.7,1.2,250,0.206378,321.567
2020-5-1 10:00,9,5,42,15,66,0.5,27.8,61,1012.4,1.3,149.2,0.203567,320.275
2020-5-1 11:00,8,4,28,11,80,0.5,28.7,58,1011.7,1.5,180,0.238614,321.236
2020-5-1 12:00,8,5,23,8,90,0.6,29.3,56,1010.9,1.1,246.2,0.238614,321.236
2020-5-1 13:00,7,5,14,15,94,0.5,30.4,53,1009.8,1.1,29.7,0.174725,324.06
2020-5-1 14:00,7,11,38,12,99,0.5,29.8,56,1008.9,1.9,50.4,0.172935,327.98
2020-5-1 15:00,8,8,40,15,109,0.5,29.5,57,1008.2,2.2,133.9,0,332.621
2020-5-1 16:00,7,12,44,15,110,0.5,29.6,58,1007.9,1.8,117.2,0,338.318
2020-5-1 17:00,7,12,40,18,109,0.5,29.5,59,1007.9,2.1,127.9,0,343.91
2020-5-1 18:00,7,13,46,17,88,0.5,28.7,63,1008.1,2,117.7,0,348.134
2020-5-1 19:00,6,12,35,14,69,0.6,28.2,66,1008.5,1.3,103.8,0,351.635
2020-5-1 20:00,8,11,30,14,60,0.7,27.7,67,1009.1,1.7,248.2,0.338506,354.643
2020-5-1 21:00,7,12,32,17,38,0.7,27,72,1009.5,1.8,257,0.993161,414.768
2020-5-1 22:00,7,14,30,17,27,0.7,26.5,74,1009.8,1.4,255,0.994514,414.083
2020-5-1 23:00,7,14,28,10,25,0.7,26.1,75,1009.3,1.6,266.8,0.845832,411.032
2020-5-2 0:00,8,11,21,12,26,0.7,25.8,76,1008.4,1,339.1,0.883371,349.043
2020-5-2 1:00,8,12,27,11,25,0.7,25.4,78,1008,1,345.1,0.278329,350.288
2020-5-2 2:00,8,13,33,12,20,0.7,25.2,79,1007.9,0.8,158,0.126199,345.962
2020-5-2 3:00,8,14,29,11,19,0.7,25.3,80,1008,0.8,248.9,0.105208,342.608
2020-5-2 4:00,11,19,34,16,18,0.7,25.2,80,1007.9,0.9,186,0.0812616,339.635
2020-5-2 5:00,9,10,32,21,24,0.7,25,80,1008.1,0.9,51.4,0.0501362,337.935
2020-5-2 6:00,8,12,31,17,26,0.7,25.2,80,1008.7,1.2,286.6,0.0620469,334.749
2020-5-2 7:00,8,9,28,15,31,0.6,25.7,78,1009.5,1.2,263.6,0.0631828,332.506
2020-5-2 8:00,10,12,27,15,32,0.6,26.9,72,1010.1,1,184.7,0.0552788,330.396
2020-5-2 9:00,10,16,55,20,33,0.6,27.1,71,1010.4,0.8,249.7,0.0824391,330.025
2020-5-2 10:00,11,11,38,22,45,0.6,27.6,68,1010.1,1.2,233.8,0.0824391,330.025
2020-5-2 11:00,12,13,34,19,64,0.6,28.9,63,1009.4,1.3,156.8,0.0543823,332.352
2020-5-2 12:00,12,10,61,20,93,0.6,29.9,58,1008.7,1.5,244.2,0.013821,336.444
2020-5-2 13:00,12,7,46,24,109,0.5,30.6,56,1007.5,1.5,222.5,0,341.353
2020-5-2 14:00,11,5,41,24,115,0.5,31.7,53,1006.5,1.4,261.3,0,346.792
2020-5-2 15:00,9,6,48,18,117,0.5,31.4,54,1005.7,1.8,129.7,0,352.986
2020-5-2 16:00,8,14,62,21,104,0.5,29.9,63,1005.3,2.5,116.3,0,357.741
2020-5-2 17:00,7,19,61,21,73,0.5,29.2,66,1005.1,2.2,122.3,0,357.312
2020-5-2 18:00,7,26,51,20,52,0.6,28.4,70,1005.2,2,111,0,358.682
2020-5-2 19:00,7,22,39,20,52,0.6,28,73,1005.6,1.6,108.5,0,359.073
2020-5-2 20:00,7,17,37,18,43,0.8,28,72,1005.9,1.4,281,0.155651,357.602
2020-5-2 21:00,8,15,30,13,33,0.8,27.5,73,1006.5,1.7,242.8,0.181174,352.503
2020-5-2 22:00,7,14,25,13,29,0.7,27.2,72,1007.1,1.5,260.3,0.0987828,346.7
2020-5-2 23:00,7,13,31,13,26,0.7,26.7,74,1007.1,1.3,272.7,0,338.802
2020-5-3 0:00,7,12,32,10,25,0.6,26.4,77,1006.8,1.6,246.1,0.0436351,333.44
2020-5-3 1:00,6,8,28,11,25,0.6,26,79,1006.4,1.1,263.8,0.0786594,329.546
2020-5-3 2:00,7,13,22,10,20,0.5,25.8,79,1006.4,0.8,239,0.0363286,326.332
2020-5-3 3:00,10,19,26,9,18,0.6,25.8,75,1006.4,1.4,237.3,0.0628493,324.202
2020-5-3 4:00,11,17,26,11,18,0.6,25.7,75,1006.5,1.8,233.1,0.0782857,321.545
2020-5-3 5:00,9,12,27,12,21,0.5,25.4,77,1006.9,1.3,237.6,0.106709,319.115
2020-5-3 6:00,7,14,19,11,18,0.6,25.6,77,1007.4,0.9,240.5,0.0830635,316.978
2020-5-3 7:00,8,10,10,11,23,0.6,26.8,73,1008.2,1.2,254.3,0.0633101,315.215
2020-5-3 8:00,7,4,39,10,36,0.5,27.6,69,1009,2,245.8,0.0741859,313.755
2020-5-3 9:00,7,5,38,10,48,0.5,28.6,65,1009.1,1.8,245.3,0.0563097,312.794
2020-5-3 10:00,7,4,34,10,68,0.5,29.8,60,1008.8,1.6,252.5,0.104241,313.419
2020-5-3 11:00,7,5,36,15,94,0.6,31.2,56,1008.2,1.7,239,0.104241,313.419
2020-5-3 12:00,7,4,38,15,114,0.6,32,54,1007.4,2,225.9,0.0624066,316.388
2020-5-3 13:00,7,3,26,15,115,0.6,33.5,49,1006.5,1.3,280.5,0.0282674,320.905
2020-5-3 14:00,6,4,38,15,127,0.6,33.6,49,1005.5,1.2,293.2,0,328.318
2020-5-3 15:00,7,4,44,14,136,0.6,33.5,49,1004.8,0.8,40.2,0,337.004
2020-5-3 16:00,7,4,37,21,132,0.5,34.2,46,1004.4,1.2,242.8,0,345.084
2020-5-3 17:00,7,6,47,19,130,0.5,33.9,48,1004.4,1.4,226.3,0,346.593
2020-5-3 18:00,6,25,72,19,94,0.6,31.6,61,1004.8,1.8,116,0,351.561
2020-5-3 19:00,6,22,55,21,75,0.6,30.6,65,1005.3,1.4,81.7,0.337131,352.844
2020-5-3 20:00,6,20,46,20,49,0.7,30.2,67,1005.9,1.5,267.9,0.995529,409.234
2020-5-3 21:00,8,20,43,17,29,0.7,29.6,70,1006.5,1.6,246.5,0.850382,408.038
2020-5-3 22:00,7,18,34,18,23,0.8,28.7,74,1007.2,2.1,231.7,0.733228,342.84
2020-5-3 23:00,6,7,29,13,29,0.6,28,77,1007.7,2.9,224.6,0.476556,338.268
2020-5-4 0:00,5,6,24,10,26,0.5,27.4,80,1007.2,2.8,230.1,0.405773,332.909
2020-5-4 1:00,10,18,24,6,16,0.6,27.4,79,1007.1,2,231.3,0.73485,328.192
2020-5-4 2:00,8,7,23,15,26,0.5,27,78,1006.6,1.5,242.2,0.912827,324.614
2020-5-4 3:00,6,9,20,4,20,0.5,26.7,80,1006.3,0.8,269.4,0.828142,385.49
2020-5-4 4:00,5,7,19,7,20,0.5,26.3,81,1006.6,0.7,289,0.835555,320.355
2020-5-4 5:00,5,8,15,7,19,0.5,26.3,81,1007.1,0.6,262.2,0.501245,316.996
2020-5-4 6:00,5,8,18,5,23,0.5,26.8,79,1007.7,0.8,243.5,0.507551,315.001
2020-5-4 7:00,7,11,19,7,25,0.6,27.8,74,1008.3,1.1,229.1,0.481227,312.838
2020-5-4 8:00,7,6,20,7,38,0.6,28.9,70,1009,1.4,239.9,0.294845,311.115
2020-5-4 9:00,6,5,31,9,56,0.5,30,65,1009.3,1.8,254.3,0.178411,309.738
2020-5-4 10:00,5,5,39,15,75,0.6,30.9,62,1009,1.6,247.8,0.200082,308.317
2020-5-4 11:00,5,5,35,12,102,0.6,32,58,1008.4,1.6,231.3,0.192773,308.892
2020-5-4 12:00,5,4,31,18,123,0.6,33.6,53,1008.1,1.4,245.7,0.192773,308.892
2020-5-4 13:00,6,5,39,18,154,0.6,34.4,51,1007.3,1.6,237.6,0.117449,311.73
2020-5-4 14:00,—,5,50,26,154,0.6,35.4,48,1006.4,1.8,251.5,0.0432228,315.811
2020-5-4 15:00,6,—,63,26,—,0.7,34.6,54,1006,1.8,212.1,0,320.766
2020-5-4 16:00,4,19,79,24,107,—,32.4,64,1005.6,2.6,122.1,0,325.982
2020-5-4 17:00,5,12,42,21,72,0.5,32.2,62,1005.4,2.5,238.3,0,331.22
2020-5-4 18:00,4,9,32,10,45,0.5,30.8,64,1005.6,3.4,236.9,0,334.925
2020-5-4 19:00,4,11,26,9,32,0.5,30,65,1006,3,240.4,0,337.4
2020-5-4 20:00,4,9,18,7,28,0.5,29.3,69,1006.3,3.7,224.9,0,338.637
2020-5-4 21:00,4,9,17,6,24,0.5,28.9,71,1006.8,3.1,229.4,0,338.87
2020-5-4 22:00,4,10,14,4,21,0.5,28.6,74,1007.3,2.2,235.8,0.407863,338.449
2020-5-4 23:00,4,9,15,5,21,0.5,28.2,76,1007.2,1.5,249.5,0.383078,337.445
2020-5-5 0:00,4,9,21,7,22,0.5,27.9,77,1006.6,1.8,246.7,0,334.205
2020-5-5 1:00,4,9,20,5,22,0.5,27.8,78,1005.9,1.6,237.5,0.15124,323.59
2020-5-5 2:00,4,7,15,2,25,0.5,27.8,77,1005.5,1.3,242.8,0.191425,320.714
2020-5-5 3:00,4,9,16,1,24,0.5,27.8,78,1005.4,0.9,349.6,0.0546277,318.526
2020-5-5 4:00,4,10,13,3,23,0.5,27.7,78,1005.5,1.3,98.9,0.0803418,316.058
2020-5-5 5:00,4,10,18,7,22,0.6,27.6,78,1005.6,1.1,74,0.0494219,313.746
2020-5-5 6:00,4,10,18,9,23,0.6,27.5,78,1006.3,1.2,351,0.0418059,311.902
2020-5-5 7:00,4,11,17,7,23,0.6,27.9,77,1006.9,1.4,291.9,0.0691698,310.366
2020-5-5 8:00,4,11,20,9,29,0.6,28.7,73,1007.7,1.4,246.3,0.0473641,308.736
2020-5-5 9:00,5,10,37,8,42,0.6,29.9,66,1008,1.5,241.1,0.0942796,309.12
2020-5-5 10:00,6,10,41,11,63,0.5,31,61,1008,1.3,229.5,0.0942796,309.12
2020-5-5 11:00,6,11,42,9,95,0.6,31.9,58,1007.5,1.7,222.8,0.0595104,313.459
2020-5-5 12:00,5,7,56,12,109,0.5,32.6,55,1006.8,1.7,206,0,316.615
2020-5-5 13:00,4,5,48,9,103,0.5,33.1,54,1005.8,2.1,215.5,0,322.519
2020-5-5 14:00,4,5,37,9,94,0.5,33.4,54,1004.9,2.6,210.2,0,327.742
2020-5-5 15:00,4,6,34,7,83,0.5,33.6,54,1004.4,2.1,241.9,0,332.752
2020-5-5 16:00,4,6,47,4,72,0.5,32.8,56,1004,2.4,206.7,0,336.563
2020-5-5 17:00,3,9,63,5,56,0.5,32.2,58,1003.9,2.1,288.4,0,342.218
2020-5-5 18:00,3,10,108,9,40,0.5,31,61,1004.3,2.1,300,0,347.283
2020-5-5 19:00,3,10,42,8,30,0.5,29.9,66,1004.8,2.6,256.5,0.0497903,346.791
2020-5-5 20:00,4,11,22,7,28,0.5,29.2,70,1005.4,3.5,237.6,0.668844,342.78
2020-5-5 21:00,4,12,50,12,25,0.5,28.9,71,1006,2.4,234,0.534199,337.123
2020-5-5 22:00,4,12,19,11,23,0.5,28.6,72,1006.3,1.5,245.5,0.383027,329.75
2020-5-5 23:00,4,14,18,6,18,0.6,28.3,76,1006.4,1.2,281.9,0.151184,323.585
2020-5-6 0:00,5,15,18,6,16,0.6,28,77,1006.4,0.9,60.7,0.0629017,319.863
2020-5-6 1:00,4,15,16,7,16,0.6,27.6,79,1006.1,1,38.3,0,316.531
2020-5-6 2:00,3,14,16,5,15,0.6,27.4,80,1005.7,1,80.1,0.018163,314.673
2020-5-6 3:00,3,15,18,6,11,0.6,27.1,82,1005.5,0.6,38,0.233847,312.938
2020-5-6 4:00,3,14,17,10,13,0.6,27.1,82,1005.6,1.1,90.5,0.248698,311.214
2020-5-6 5:00,3,15,22,10,11,0.6,27,82,1005.5,1,16.7,0.299471,309.305
2020-5-6 6:00,4,14,17,9,15,0.6,27.3,81,1005.8,1,67.3,0.277404,307.578
2020-5-6 7:00,4,12,25,8,19,0.6,28,78,1006.6,1.4,129.3,0.2577,306.27
2020-5-6 8:00,4,12,22,10,26,0.6,29.4,72,1007.3,1.2,275.9,0.229889,305.349
2020-5-6 9:00,4,12,41,11,35,0.6,30.1,68,1007.9,1.7,230.2,0.183656,304.198
2020-5-6 10:00,3,7,26,9,53,0.5,31.4,61,1007.6,2.5,235,0.235675,304.714
2020-5-6 11:00,3,7,32,6,65,0.5,31.9,59,1007.2,2.4,232,0.235675,304.714
2020-5-6 12:00,3,6,21,7,71,0.5,32.6,58,1006.9,2.1,236.9,0.127652,307.25
2020-5-6 13:00,3,5,20,8,66,0.5,33.2,55,1006.1,2.8,238.1,0.0339633,311.193
2020-5-6 14:00,3,5,18,5,64,0.5,33.4,54,1005.3,2.3,235.3,0,316.194
2020-5-6 15:00,3,6,28,5,72,0.5,33.2,56,1004.4,2.4,227.9,0,322.668
2020-5-6 16:00,2,8,21,4,64,0.5,33.3,57,1003.7,2.4,241.3,0,327.772
2020-5-6 17:00,2,10,35,5,49,0.5,32.8,60,1003.7,2.4,241.7,0,331.873
2020-5-6 18:00,2,10,29,6,34,0.5,31.6,64,1004.1,2.2,258.8,0,335
2020-5-6 19:00,2,13,30,7,26,0.5,30.5,68,1004.5,2.1,260.2,0,337.135
2020-5-6 20:00,2,11,26,9,24,0.5,29.9,71,1004.9,1.7,267.8,0.086391,337.779
2020-5-6 21:00,2,10,14,8,23,0.5,29.4,73,1005.5,2.5,237.1,0.390295,337.334
2020-5-6 22:00,2,9,16,6,22,0.5,29,74,1006.2,1.8,251.4,0,335.758
2020-5-6 23:00,2,8,10,5,22,0.5,29,75,1006.3,2.7,241.1,0,330.922
2020-5-7 0:00,2,8,7,7,20,0.5,28.9,75,1005.9,2.7,234.2,0,325.532
2020-5-7 1:00,2,6,15,5,22,0.5,28.6,76,1005.7,2.4,239.5,0.112608,320.53
2020-5-7 2:00,1,5,10,1,23,0.5,28.5,77,1005.5,2,263.2,0.34738,319.636
2020-5-7 3:00,1,5,8,-1,21,0.6,28.4,78,1005.7,1.2,10.5,0.396286,319.628
2020-5-7 4:00,2,7,11,2,19,0.6,28.4,77,1006,1.2,78.7,0.53921,319.276
2020-5-7 5:00,2,8,11,2,18,0.6,28.5,77,1006.2,1.2,88.6,0.807859,320.901
2020-5-7 6:00,2,7,14,2,20,0.6,28.7,76,1006.7,1.2,78.4,0.880342,333.676
2020-5-7 7:00,2,8,15,4,21,0.6,29,75,1007.2,1.2,357.1,0.717532,315.262
2020-5-7 8:00,1,10,19,5,26,0.6,29.5,72,1007.7,2,259.8,0.634476,313.411
2020-5-7 9:00,1,9,28,6,38,0.5,30.2,69,1008,1.9,272.6,0.525941,311.663
2020-5-7 10:00,—,9,29,7,56,0.5,31.2,63,1007.8,2.2,242.7,0.49673,309.501
2020-5-7 11:00,—,7,—,—,61,0.5,32,59,1007.4,2.7,227.3,0.377555,309.358
2020-5-7 12:00,4,6,—,—,—,0.5,32.7,56,1007,2.9,233.3,0.377555,309.358
2020-5-7 13:00,4,—,—,4,—,0.5,33,57,1006.1,3,234.3,0.38272,311.022
2020-5-7 14:00,4,—,41,7,60,0.5,33.2,56,1005.4,2.3,259.5,0.341534,314.487
2020-5-7 15:00,4,5,31,5,59,—,33.5,54,1004.6,2.8,255.4,0.278284,319.296
2020-5-7 16:00,3,5,29,4,53,0.5,33.1,56,1004.1,2.4,259.1,0.174293,324.292
2020-5-7 17:00,4,7,19,6,46,0.5,32.7,57,1003.8,2.8,240.1,0.156844,327.826
2020-5-7 18:00,4,10,23,7,38,0.5,31.6,62,1003.9,2.6,240,0.102744,331.141
2020-5-7 19:00,4,11,21,5,28,0.6,30.6,68,1004.2,1.9,278.7,0.0788056,333.464
2020-5-7 20:00,3,10,27,4,26,0.5,29.9,72,1004.6,2.2,273,0.0537192,334.788
2020-5-7 21:00,3,10,18,6,24,0.5,29.5,74,1005.1,1.7,274.3,0.0316835,334.994
2020-5-7 22:00,3,9,22,5,25,0.5,29.1,76,1005.4,1.8,272.7,0.191674,334.6
2020-5-7 23:00,4,9,17,5,23,0.5,29,77,1005.4,1.7,261.9,0.36017,333.509
2020-5-8 0:00,3,7,4,5,23,0.5,28.8,79,1005.1,1.7,283.7,0.0466202,330.29
2020-5-8 1:00,4,9,11,5,20,0.5,28.8,79,1005,1.6,274.7,0.492456,320.14
2020-5-8 2:00,4,8,13,4,20,0.5,28.8,78,1004.6,2,257.9,0.55844,317.182
2020-5-8 3:00,3,6,8,2,20,0.5,28.7,79,1004.3,1.3,302.7,0.46941,313.916
2020-5-8 4:00,3,5,14,3,22,0.5,28.5,80,1004.3,1.4,322.4,0.2853,311.748
2020-5-8 5:00,3,7,8,3,20,0.5,28.5,79,1004.7,1.3,43,0.269786,309.846
2020-5-8 6:00,3,7,10,3,19,0.5,28.7,78,1005.5,1.2,359.9,0.228371,308.266
2020-5-8 7:00,2,11,13,3,17,0.6,29,78,1006.5,1.2,62.6,0.151066,307.626
2020-5-8 8:00,3,14,19,5,16,0.6,29.2,79,1007.3,1.3,108.3,0.0985961,306.974
2020-5-8 9:00,3,14,20,10,24,0.6,30,75,1007.8,2,241.6,0.115146,307.761
2020-5-8 10:00,4,11,21,6,45,0.6,30.8,70,1007.6,2.8,231.2,0.115146,307.761
2020-5-8 11:00,4,10,28,8,60,0.6,31.4,67,1007.4,2.2,245.3,0.170068,310.871
2020-5-8 12:00,3,5,13,6,58,0.5,32.2,63,1006.7,3.2,239.7,0.124753,315.865
2020-5-8 13:00,3,4,20,5,50,0.5,32.4,63,1006.2,3,236.6,0.11197,321.736
2020-5-8 14:00,3,4,19,3,54,0.5,32.6,62,1005.3,3.3,243,0.116637,328.245
2020-5-8 15:00,2,4,23,2,51,0.5,32.9,60,1004.7,3.2,235.9,0.0532058,334.352
2020-5-8 16:00,3,6,27,2,48,0.5,32.7,61,1004.4,2.9,243.1,0.0282513,339.795
2020-5-8 17:00,2,7,20,1,41,0.5,32.3,62,1004.2,2.3,264.5,0.0297715,343.754
2020-5-8 18:00,3,10,28,3,30,0.5,31.4,65,1004.5,3,234.1,0.0440185,346.732
2020-5-8 19:00,3,10,19,5,26,0.5,30.5,68,1004.9,2.6,258,0.0483451,348.351
2020-5-8 20:00,2,7,24,3,23,0.5,29.9,72,1005.4,2.7,255.9,0.728406,348.477
2020-5-8 21:00,2,9,21,3,20,0.5,29.5,74,1006,2.2,261,0.392006,346.408
2020-5-8 22:00,2,8,20,3,20,0.5,29.4,76,1006.7,1.5,280,0.40576,344.549
2020-5-8 23:00,2,6,17,2,23,0.5,29.3,76,1006.8,1.6,300,0.69289,342.228
2020-5-9 0:00,1,8,20,2,22,0.5,29.2,76,1006.5,1.7,263,0.859648,337.874
2020-5-9 1:00,2,6,14,2,24,0.5,29.2,75,1006.8,2.6,229,0.884133,383.306
2020-5-9 2:00,1,6,16,3,24,0.5,29,77,1006.7,2.2,231.6,0.804599,333.286
2020-5-9 3:00,2,7,13,4,22,0.5,28.8,78,1006.3,1.5,244,0.839715,334.036
2020-5-9 4:00,3,11,16,2,18,0.5,28.5,79,1006,1.2,290.6,0.768721,371.532
2020-5-9 5:00,2,11,8,0,19,0.5,28.3,80,1006.3,1.1,258,0.806371,333.34
2020-5-9 6:00,2,13,12,3,19,0.5,28.6,79,1006.7,1.2,248.6,0.881319,367.765
2020-5-9 7:00,3,14,12,2,20,0.5,29.4,75,1007.4,1,234.1,0.862503,371.575
2020-5-9 8:00,4,12,18,3,25,0.5,30,70,1007.6,1.1,235.2,0.825194,369.748
